Lambda;BDP;Seeds;TotalAdoption_mean;TotalAdoption_sd;AutoRatio_mean;AutoRatio_sd;HybridRatio_mean;HybridRatio_sd;PrivateGrossInvestmentToGdp_mean;PrivateGrossInvestmentToGdp_sd;Inflation_mean;Inflation_sd;RefRate_mean;RefRate_sd;MarketWage_mean;MarketWage_sd;Unemployment_mean;Unemployment_sd;DebtToGdp_mean;DebtToGdp_sd;DeficitToGdp_mean;DeficitToGdp_sd
0.75;1500.0;10.0;0.08799;0.00466986794959629;0.039220000000000005;0.003600555512695228;0.04877;0.0026491298361705274;0.07789;0.007679619492888666;0.03085;0.018628308803777353;0.032;0.007829573565796685;10738.3523;89.93612904317749;0.06781999999999999;0.005053007905088698;0.90961;0.04094417473151026;0.12533;0.006814209010915681
0.75;2000.0;10.0;0.0819;0.0024234960972391354;0.03708;0.0028981986742726176;0.04482;0.0018546038810364751;0.07349;0.002563179449217103;0.03488;0.01900378909586191;0.03366;0.00885402607731521;11380.78112;148.0900815787908;0.06922;0.0074864024886605075;0.94208;0.03373777309386816;0.13313;0.005953346397895332
0.75;2500.0;10.0;0.08183;0.002826874992323186;0.03691;0.0007622335600063811;0.04492;0.0024836353283935316;0.07148;0.0018695216262753177;0.04098;0.021626568022791885;0.03597;0.01202848932973528;12231.712599999999;137.25789963049695;0.07588;0.007654599198448529;0.97294;0.03327231748933504;0.14301;0.00625503352864271
0.75;3000.0;10.0;0.08214;0.0024130202375170127;0.03807;0.0008551153268549339;0.04407;0.002283783410629535;0.07065;0.002834411559546162;0.04605;0.026835434700327766;0.04055;0.017233768530933037;13269.440340000001;176.36926471244107;0.07721;0.0114802680959791;1.00635;0.02766543169934478;0.15579;0.004627322239817656
1.0;0.0;10.0;0.0897;0.0032090150790823296;0.03625;0.0017277152543170996;0.05345;0.002692479237514089;0.09899;0.002881531228743188;0.02904;0.017143460042308326;0.03083;0.007221426451886082;10565.5734;0.0;0.07401;0.016975436502324304;0.6934400000000001;0.046467245333556055;0.0769;0.014007220360307833
1.0;500.0;10.0;0.09426;0.001818546428087861;0.03939;0.0011789354897062396;0.05487;0.001778295063630706;0.09736;0.003333399999333348;0.03051;0.017396643993087352;0.03201;0.007043271020390076;10565.5734;0.0;0.0692;0.013215899515356492;0.76093;0.04137608138902368;0.09211;0.009511799689508464
1.0;1000.0;10.0;0.09785;0.006354045080803951;0.0447;0.0036120169803956726;0.05315;0.003341406889320725;0.08471;0.007546367779711418;0.03139;0.01794234284218944;0.03231;0.00793759689354684;10612.29606;41.95813012503453;0.06808;0.0060558144694903655;0.84026;0.0418525772470731;0.1098;0.00886466142738809
1.0;1500.0;10.0;0.0809;0.0035099857549568507;0.03647;0.0019247222021776436;0.04443;0.0023461789265858558;0.07424;0.004178303749396662;0.03335;0.01851421375892347;0.03322;0.008829470853655702;11386.59223;146.64535467333752;0.06798;0.005979371947695586;0.87913;0.03184842748603663;0.11639;0.005052930942642214
1.0;2000.0;10.0;0.08243;0.0037395929665614077;0.03806;0.0023730898751533943;0.04437;0.0021458228155082034;0.07085;0.0019207926604515241;0.04174;0.020688493849910335;0.03699;0.012804552141935915;12614.32333;190.2579623020165;0.07756;0.012309995938260905;0.90735;0.033914934435699234;0.12756;0.005318353964234506
1.0;2500.0;10.0;0.08469;0.002637949540415392;0.03972;0.00229966181088534;0.04497;0.0019241448316936372;0.06937;0.003456732561249135;0.04925;0.02569207616713328;0.04281;0.016914191937213226;13986.85239;159.53322421402785;0.07651;0.008862712150728277;0.93954;0.026300747771372066;0.14237;0.004132540246493545
1.0;3000.0;10.0;0.08662;0.0041346234545737185;0.04195;0.0011825114516711174;0.04467;0.003236956732625398;0.06908;0.004790917332712903;0.053790000000000004;0.03099811643023205;0.04801;0.018310194488923986;15354.57218;219.1383281497623;0.08116;0.008917797436088752;0.97688;0.026626962108192334;0.15715;0.007649291906226791
