BDP;Month;Seeds;TotalAdoption_mean;TotalAdoption_sd;PrivateGrossInvestmentToGdp_mean;PrivateGrossInvestmentToGdp_sd;FirmBirths_mean;FirmBirths_sd;FirmDeaths_mean;FirmDeaths_sd;NetEntry_mean;NetEntry_sd;LivingFirmCount_mean;LivingFirmCount_sd
500.0;51.0;10.0;0.08364;0.0030328571054736866;0.09894;0.002298405244221888;71.6;10.699948078794069;62.5;12.48332220738267;9.1;5.10881590977792;10682.3;75.74672710201192
500.0;52.0;10.0;0.08493;0.0032045280463743786;0.09879;0.0021814623026258735;71.7;9.866328823044793;62.1;7.415449338299662;9.6;3.8643671323171835;10691.9;78.54149646312239
500.0;53.0;10.0;0.08592;0.0032625143677844537;0.09858;0.002267548847936418;72.0;9.46337971105226;62.9;6.384877968032487;9.1;4.931756504757937;10701.0;81.53526844255803
500.0;54.0;10.0;0.08698;0.003489921998491592;0.09832;0.0021555097360536845;72.6;11.117553687749837;64.3;13.333749993489787;8.3;4.9899899799498595;10709.3;82.48104159273343
500.0;55.0;10.0;0.08817;0.00356901791658278;0.09847;0.0023419127984524854;72.5;10.84486565666496;62.9;9.194805296712076;9.6;4.247875285886398;10718.9;86.19931683152844
500.0;56.0;10.0;0.0891;0.0035377331097124257;0.09815;0.0021864481598143476;73.4;10.844353369380768;64.8;11.631375193367674;8.6;7.633260552782583;10727.5;86.85012633522443
500.0;57.0;10.0;0.09031;0.0037113788991873795;0.09788;0.0022972447264785123;73.8;9.186947262284681;64.3;8.393780766469634;9.5;8.031189202104505;10737.0;91.01159877241533
500.0;58.0;10.0;0.09149;0.003764291286402912;0.09804;0.002113028369163293;73.5;10.437645541234117;63.2;10.304260176149366;10.3;3.917198545446024;10747.3;93.64003180026988
500.0;59.0;10.0;0.09262000000000001;0.003982126734966295;0.09769;0.0025092938360334674;72.9;9.620002310002032;63.2;8.270429251254132;9.7;4.83160888777687;10757.0;96.10757861202553
500.0;60.0;10.0;0.0936;0.004098238103814315;0.0973;0.0023390406390465103;73.7;10.781156400559883;64.9;13.177843357528406;8.8;5.553777493242275;10765.8;94.82240710343146
2000.0;1.0;10.0;0.04467;0.0020248731098790134;0.1093;0.005173865951963666;0.4;0.5163977794943223;0.4;0.5163977794943223;0.0;0.0;10000.0;0.0
2000.0;2.0;10.0;0.04481;0.00195587434270314;0.1093;0.004697280537124053;21.2;16.19190469888511;5.9;2.4698178070456938;15.3;16.786568705035847;10015.3;16.786568705035847
2000.0;3.0;10.0;0.044950000000000004;0.0021752394504207274;0.10979;0.004327804164803313;3.5;1.0801234497346435;4.7;2.0575065816014617;-1.2;1.2292725943057183;10014.1;17.259136066958213
2000.0;4.0;10.0;0.04535;0.002157802379994774;0.11054;0.004467462615649091;3.9;0.9944289260117531;5.0;2.449489742783178;-1.1;2.0789954839350235;10013.0;16.706618781522224
2000.0;5.0;10.0;0.04584;0.0022603834482966233;0.11136;0.004565620318082626;4.0;1.0540925533894598;4.2;3.425395354310701;-0.2;2.573367875415838;10012.8;17.693690024035877
